id,name,date,is_hazardous,diameter_min_km,diameter_max_km,velocity_km_s,miss_distance_km,diameter_km,log_diameter,log_velocity,log_miss_distance,astrorisk_score,uncertainty_ratio,event_id
54533162,(2025 KJ2),2025-05-18,False,0.0303777061,0.0679266159,5.8563043276,14427477.297356378,0.04542526581295686,-1.34270252171521,0.7676236371088456,7.1591903995885255,-9.652050690516464,1.2360679754023034,54533162_2025-05-18
2438908,438908 (2009 XO),2025-06-04,True,0.1988634532,0.4446721997,25.2606244903,66243008.33074387,0.29737022240698885,-0.5267025221905545,1.4024440829327818,7.821140047082604,-6.5963594477887035,1.2360679774034677,2438908_2025-06-04
3515028,(2010 GH7),2025-06-04,False,0.0090064777,0.0201390963,3.9400870276,58557627.22643145,0.013467825426701316,-1.870702518455739,0.5955058145241703,7.767583470657147,-12.188679396976024,1.236067955444247,3515028_2025-06-04
3624746,(2013 BH18),2025-06-04,False,0.2016299194,0.4508582062,3.0955018238,69348781.22637942,0.3015070542739167,-0.520702522197712,0.4907310642395625,7.8410388329463006,-8.421684271060311,1.23606797750073,3624746_2025-06-04
3678630,(2014 OL339),2025-06-04,False,0.0738847787,0.1652113876,11.5088853724,49937060.75368787,0.11048351375452323,-0.9567025217632238,1.0610332645495912,7.69842297662125,-8.44646401281174,1.2360679748018684,3678630_2025-06-04
3729277,(2015 TA25),2025-06-04,False,0.2573682542,0.5754929116,28.6486406746,69227973.69085774,0.3848553052290782,-0.4147025222024302,1.4571040203179941,7.840281619958135,-6.170181145929437,1.236067976857704,3729277_2025-06-04
3735682,(2015 XZ1),2025-06-04,False,0.02658,0.0594346868,13.8326452446,25770914.84379698,0.03974637059083508,-1.4007025213698634,1.140905239062627,7.411129835879606,-9.331426921863942,1.236067971271377,3735682_2025-06-04
3739247,(2016 AB9),2025-06-04,False,0.0305179233,0.0682401509,13.5137898141,54590609.130792014,0.04563493936828038,-1.3407025211962735,1.130777159872145,7.737117940260639,-9.497671184105169,1.2360679691593959,3739247_2025-06-04
3765707,(2016 XF18),2025-06-04,False,0.040230458,0.0899580388,9.9948760439,44951204.19524433,0.06015856632023215,-1.2207025215387666,0.9997774123870404,7.652741330515181,-9.3152940703574,1.2360679730862922,3765707_2025-06-04
3781304,(2017 QB35),2025-06-04,False,0.0036690614,0.0082042706,11.2597847908,42412367.9574679,0.005486526457934459,-2.2607025142248567,1.0515300898920794,7.627492520565173,-12.306539883455585,1.2360679154601255,3781304_2025-06-04
